seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	avg_switches	global_75_prop	iDAT_score
47	0	0.673502475162968	0.7919904	0.6803324	0.6748777	7.687317e-05	1.039794e-05	0.6847448	17.6927	17.36146	1.18986	18.79191	0.03178804	0.02504072	18.84935	0.2242976	-0.841673586097835
480	0	0.720926403347403	0.4021256	0.7150574	0.7165171	8.282492e-05	1.56923e-05	0.7316383	17.79107	17.50198	1.150273	18.84139	0.03024433	0.02205374	17.21438	0.3831421	-1.00629596409296
481	0	0.663849865715019	0.05246175	0.6493471	0.6613077	5.786323e-05	2.672092e-05	0.6733083	17.66359	17.31915	1.212486	18.76361	0.02961789	0.02419404	19.11751	0.1811239	-0.79464836457458
482	0	0.684610319579951	0.002459541	0.6598536	0.6831806	6.899382e-05	1.926882e-05	0.698338	17.70546	17.3801	1.202042	18.81933	0.03337431	0.02707727	18.52893	0.2518006	-0.868725357261011
483	0	0.680747154005803	0.7564684	0.6897903	0.6850361	5.5904e-05	1.08885e-05	0.6985358	17.71009	17.38837	1.158425	18.77551	0.02690609	0.01962022	18.24108	0.2565493	-0.866916921992532
484	0	0.749176888470538	0.2155093	0.7404828	0.7464238	5.54253e-05	2.338672e-05	0.7588841	17.87555	17.62478	1.075214	18.90385	0.03273301	0.02185763	16.02452	0.5261179	-1.36731056536059
485	0	0.666711734049022	0.3785575	0.6630787	0.6663835	5.49176e-05	6.777315e-06	0.6769687	17.68636	17.35015	1.184678	18.78162	0.03070542	0.02443901	18.81086	0.1978235	-0.81704336984842
486	0	0.72665711150039	0.7064994	0.7147804	0.7102204	7.617312e-05	1.110276e-05	0.724911	17.77814	17.4814	1.146968	18.8475	0.03011765	0.02236678	17.44381	0.3600317	-1.02913018317458
487	0	0.748251748085022	0.6881297	0.7485754	0.7432303	6.344459e-05	2.108083e-05	0.7563316	17.86485	17.6136	1.089572	18.91302	0.0350752	0.0235773	16.18443	0.5104472	-1.26936433836734
488	0	0.709980731084943	0.8826369	0.7256233	0.7176745	4.814558e-05	1.076471e-05	0.7284725	17.78911	17.52785	1.090565	18.8757	0.03288523	0.02366864	17.28932	0.3935101	-1.12576358136909
