seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score
356	0	0.703483076463453	0.2115684	0.6860465	0.7054546	0.0007336385	0.0001066256	0.755814	17.59295	17.47316	0.6724403	18.55348	0	0	14.28779	0.25	-0.988114231552579
357	0	0.668231462081894	0.01673511	0.6075581	0.6639065	0.0007784484	0.0002909631	0.7122093	17.44959	17.35815	0.6273707	18.36965	0.004524887	0	15.38081	0.122093	-0.73774277219684
358	0	0.72397361129988	0.4650068	0.7122093	0.7136146	0.0006528003	0.0001748579	0.752907	17.59054	17.53096	0.6765093	18.57154	0.01652893	0	13.73256	0.3895349	-0.847224315058079
359	0	0.718603354273364	0.1166877	0.6715116	0.6972812	0.0004883423	0.0005663163	0.7325581	17.64281	17.51755	0.7573056	18.67992	0	0	13.77616	0.3662791	-1.06272117338136
35	0	0.728054602025077	0.3149399	0.7122093	0.727102	0.0008633318	0.0003495806	0.7819767	17.55944	17.51181	0.671555	18.58253	0.01140684	0	13.67733	0.4244186	-0.860513325103377
360	0	0.722403477877378	0.203258	0.7034884	0.7242577	0.000757622	0.0001343595	0.7674419	17.63374	17.59447	0.5836895	18.62919	0.0125	0	13.5	0.3604651	-1.02078264467849
361	0	0.72974320393987	0.02202874	0.6686047	0.7252117	0.0007499067	0.000274472	0.7674419	17.77126	17.64654	0.6618097	18.70618	0.01587302	0.003968254	12.93023	0.4418605	-1.10587246369237
362	0	0.741937927622348	0.2229158	0.7325581	0.7512114	0.0005108551	0.0001737165	0.7790698	17.87005	17.72312	0.6456637	18.66391	0.01632653	0.004081633	12.02907	0.5755814	-1.29816623183729
363	0	0.667410448519513	0.5733964	0.6627907	0.6514229	0.0007801714	0.0003535218	0.7005814	17.35216	17.31087	0.6163996	18.38177	0	0	15.06686	0.1337209	-0.613897383906259
364	0	0.697026417776942	0.916476	0.7238372	0.6870226	0.0007766849	0.0006703464	0.7267442	17.47697	17.40837	0.6883417	18.58134	0.008333333	0	14.73547	0.1802326	-0.919927987213913
365	0	0.719535738555715	0.2712063	0.7122093	0.7261993	0.0005850405	0.0003069478	0.7703488	17.67625	17.57506	0.6581576	18.5974	0.003937008	0	13.24419	0.4127907	-0.976646180244515
366	0	0.695660094567575	0.4380942	0.6976744	0.6981051	0.000366227	0.000103195	0.7267442	17.54906	17.44963	0.7141791	18.51525	0	0	14.22384	0.25	-0.801019950860706
367	0	0.702927720593289	0.6076586	0.7122093	0.700747	0.0004724474	6.018901e-05	0.7354651	17.71532	17.63516	0.5301605	18.61538	0.01229508	0	13.76453	0.3837209	-1.18323282079352
368	0	0.736663857777603	0.6839068	0.752907	0.7411398	0.0004210449	0.0002166475	0.7790698	17.80302	17.71006	0.6124012	18.73584	0.01265823	0	12.76453	0.5406977	-0.877180834840677
369	0	0.675069513591006	0.2240297	0.6511628	0.6726198	0.0008660832	0.0001442363	0.7267442	17.50754	17.44583	0.559013	18.42774	0	0	14.4564	0.1744186	-0.740988542496535
36	0	0.732446548179723	0.6264579	0.75	0.7421104	0.0004973296	0.0003126669	0.7761628	17.84493	17.72947	0.5144739	18.7128	0.01132075	0.003773585	12.25	0.5	-1.05292778258761
370	0	0.65084169243928	0.7148368	0.6773256	0.6654753	0.0005957212	7.840746e-05	0.7005814	17.43369	17.4223	0.5861248	18.4768	0.00862069	0	15.125	0.2093023	-0.603394118950736
371	0	0.724603337282315	0.8573099	0.7645349	0.736646	0.0006528713	6.329854e-05	0.7703488	17.75297	17.65062	0.662679	18.60256	0.00390625	0	12.8343	0.4302326	-1.03723892756427
372	0	0.728309827414341	0.7702069	0.7616279	0.7407129	0.00126969	0.0002199327	0.7877907	17.69594	17.59853	0.6284672	18.59049	0.007843137	0	12.92151	0.4534884	-1.23047926467071
373	0	0.692538794362918	0.7383812	0.7151163	0.7013724	0.000509622	8.019075e-05	0.7354651	17.58882	17.38566	0.826478	18.54655	0.008403361	0	14.3314	0.3023256	-0.792877877412274
374	0	0.722962798760273	0.8914986	0.7674419	0.7404442	0.0008229124	0.0002178143	0.7848837	17.6704	17.61299	0.5799696	18.69441	0.004115226	0	13.56105	0.4302326	-1.03406777410948
375	0	0.677421550638974	0.06052576	0.6366279	0.6692248	0.0005519685	0.0001606728	0.7093023	17.52498	17.49207	0.4836344	18.52867	0.004504505	0	14.8343	0.2151163	-0.884474566834567
376	0	0.718497587461025	0.1912989	0.6976744	0.7211756	0.0007875775	0.0001729938	0.7635174	17.60545	17.51414	0.6138892	18.66207	0	0	14.10756	0.377907	-0.719791159712775
377	0	0.655514812469482	0.7159184	0.6715116	0.654311	0.0007339633	0.0001507761	0.7005814	17.56069	17.46108	0.6797783	18.47847	0.004672897	0	15.18314	0.1453488	-0.803286980599351
378	0	0.718919540243223	0.2636646	0.6947674	0.7151209	0.0006770598	0.0005404781	0.7587209	17.69197	17.55928	0.6410252	18.53305	0	0	13.90116	0.3662791	-0.872670379099038
379	0	0.692602765839547	0.1559652	0.6598837	0.6833645	0.000583952	0.0001598575	0.7209302	17.58293	17.51428	0.5688912	18.50878	0.004347826	0	14.66279	0.2034884	-0.849372526822237
37	0	0.720256463019177	0.02410901	0.6744186	0.7312709	0.0009304225	0.0002527444	0.7819767	17.66177	17.54824	0.6294296	18.56889	0	0	13.55814	0.3313953	-0.932857798102067
380	0	0.719586582574993	0.9364229	0.7674419	0.7262844	0.0006041551	0.0006500398	0.7703488	17.75454	17.67796	0.5845301	18.74976	0.01593625	0	13.18023	0.4069767	-1.18240973463904
381	0	0.734854319132864	0.0637605	0.6860465	0.7259236	0.0006407309	0.0005056878	0.7645349	17.62401	17.58089	0.711414	18.81666	0.01167315	0.003891051	13.11919	0.4360465	-1.1539499559903
382	0	0.684942111396231	0.7607216	0.7063953	0.689481	0.0005622945	0.0001970332	0.7267442	17.54544	17.46451	0.7993386	18.55107	0	0	14.06977	0.2383721	-0.988484184151428
383	0	0.675122914090753	0.7338028	0.6860465	0.6700618	0.0003396248	0.0001455697	0.7034884	17.61082	17.52521	0.6204013	18.54965	0.00390625	0	14.84884	0.1860465	-0.929877001099837
384	0	0.661821510316804	0.3591925	0.6598837	0.6635311	0.0007892843	0.0004815416	0.7093023	17.44074	17.38354	0.6121183	18.47608	0.004385965	0	15.5436	0.1162791	-0.791170267651945
385	0	0.728541112225503	0.1294105	0.7034884	0.7262592	0.0004541742	0.0001600336	0.7587209	17.66079	17.5797	0.6858547	18.62492	0.003968254	0.003968254	13.25291	0.372093	-1.08062075543416
386	0	0.742998758656904	0.4256924	0.7383721	0.7396602	0.0008067759	0.0001738889	0.7994186	17.7858	17.7291	0.5616792	18.75175	0.008163265	0	12.7936	0.494186	-1.09012568702159
387	0	0.689894553506747	0.3377996	0.6831395	0.6915909	0.0007511997	0.0002085949	0.7383721	17.5307	17.4759	0.6643514	18.5301	0.00456621	0	14.34012	0.3023256	-0.75268638601377
