seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score
542	0	0.67628861553967	0.3864847	0.6715116	0.6797561	0.0005974506	4.988888e-05	0.7209302	17.69657	17.56437	0.7348679	18.61874	0.0041841	0	13.77035	0.244186	-0.804478408942388
543	0	0.714025656692684	0.9927885	0.7587209	0.7024148	0.0005515116	0.0001406511	0.744186	17.78897	17.59429	0.8233543	18.79614	0.007968127	0	12.80814	0.3604651	-0.717906905449462
544	0	0.701294837845489	0.7702465	0.7296512	0.6963187	0.0009647754	0.0002787429	0.7587209	17.87733	17.68255	0.6766248	18.70073	0.004201681	0	12.7907	0.3023256	-0.976025210995227
545	0	0.686996892816387	0.7156518	0.7005814	0.6860782	0.0006053542	9.846296e-05	0.7296512	17.76825	17.6197	0.6050178	18.6569	0	0	13.53779	0.2267442	-0.840515325128538
546	0	0.718459367239848	0.05836489	0.6686047	0.7062698	0.0005496086	0.000282068	0.744186	17.86826	17.68017	0.7654846	18.78749	0.008230453	0	12.80814	0.3604651	-0.95892853179295
547	0	0.656895428220741	0.4338243	0.6540698	0.6555455	0.0006863809	0.0003235977	0.7063953	17.56125	17.4593	0.74577	18.65627	0.004672897	0	14.48256	0.08139535	-0.563676444112102
548	0	0.684080901625566	0.4972265	0.6947674	0.6944079	0.0005850587	0.0001732186	0.7325581	17.82754	17.69015	0.747411	18.83157	0.01214575	0	13.57849	0.3081395	-1.00984927150323
549	0	0.658002130547538	0.1100646	0.6395349	0.6672134	0.0006118587	0.000187528	0.7122093	17.68933	17.53594	0.7263115	18.70338	0.01315789	0	13.77907	0.1802326	-0.678220677995204
54	0	0.683751497487538	0.1455257	0.6366279	0.6603976	0.000737641	0.0003323962	0.7063953	17.68409	17.63114	0.6177749	18.73022	0.008695652	0	13.73547	0.2151163	-0.911555740633036
550	0	0.733120165485889	0.4055289	0.7296512	0.7294797	0.0005662191	0.0003086716	0.7703488	17.87701	17.7269	0.7229433	18.85717	0.01858736	0	12.48547	0.5232558	-1.06465325747329
551	0	0.7461560706608	0.03145769	0.6976744	0.7413639	0.0005358552	0.0001763427	0.7761628	17.89098	17.7423	0.6985205	18.83513	0.01219512	0	12.57849	0.4651163	-1.18794949461405
552	0	0.675148754450493	0.4391304	0.6686047	0.6716051	0.0005665432	0.0001467857	0.7093023	17.76219	17.6466	0.6041475	18.72384	0.004132231	0	14.31977	0.244186	-0.881135625134734
