seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	avg_switches	global_75_prop	iDAT_score
605	0	0.652875967789441	0.8109147	0.6865	0.6560327	0.00131381	0.0002676031	0.7175	17.59332	17.17414	1.3226	18.67631	0.02694829	0.02112163	19.9525	0.181	-0.638446192058371
606	0	0.671901928284205	0.6938485	0.6955	0.676679	0.001112865	0.0002041226	0.739	17.69874	17.36216	1.203827	18.81678	0.03091301	0.02731848	18.341	0.237	-0.938108662248332
607	0	0.66282065291889	0.901816	0.7115	0.6677104	0.001261563	0.0004726339	0.7255	17.65773	17.33394	1.058372	18.711	0.0224877	0.01827126	18.6485	0.221	-0.68766842111117
608	0	0.74549037180841	0.7520566	0.7615	0.7291985	0.001383789	0.0001511014	0.793	17.89202	17.63439	0.8270194	18.73571	0.01904137	0.01378858	16.801	0.428	-1.5139814303173
609	0	0.734208158846013	0.4129142	0.722	0.7172289	0.001096661	0.001718733	0.779	17.67518	17.35998	1.192596	18.77226	0.01800554	0.01246537	17.32	0.387	-1.03035919796784
60	0	0.735361741390079	0.6232354	0.7695	0.7591923	0.0005744334	0.0001997902	0.802	17.8724	17.63056	1.103616	18.93428	0.03833658	0.02339181	15.744	0.604	-1.02550640695704
610	0	0.679836586746387	0.1871139	0.64	0.6760423	0.001375242	0.000183079	0.7345	17.76527	17.41941	1.102707	18.7751	0.02890625	0.02421875	18.913	0.205	-0.80473911680055
611	0	0.74961585176643	0.9263923	0.8145	0.7640066	0.001223141	0.0001937678	0.822	17.96493	17.75386	0.8788672	18.86698	0.02946593	0.02148557	15.5915	0.604	-1.63894033312867
612	0	0.74795779818669	0.008391769	0.7145	0.7694	0.0005280408	0.0006578009	0.8075	17.99396	17.78929	1.089259	18.98971	0.03778866	0.01889433	13.803	0.655	-1.64158020813711
613	0	0.674579771794379	0.7827842	0.717	0.6919901	0.001053567	0.0001514123	0.7405	17.77203	17.51881	1.030724	18.88726	0.0320781	0.02440725	18.566	0.278	-0.921689145521835
614	0	0.748729326948524	0.1653798	0.72	0.7457013	0.0009627845	0.0001299925	0.804	17.92177	17.68927	0.9604973	18.98262	0.04166667	0.02291667	16.3285	0.522	-1.62305968712205
615	0	0.704979301150888	0.1647764	0.6855	0.7201632	0.001585859	0.0008153084	0.788	17.7702	17.46449	1.338365	18.91737	0.03938731	0.02771699	16.867	0.4	-1.06507859543351
616	0	0.730738681019284	0.815356	0.83	0.7942824	0.001872575	0.0001023424	0.843	18.19037	17.92573	0.9240956	18.98943	0.03795181	0.01686747	13.9495	0.747	-2.0702385591882
